run,model,path,peak_iteration,peak_step,peak_triplet,final_fe,early_triplets,stats_file,loss,nll,variance_scaler
GP_F31,GP_F,GP_F/GP_F31,6,4,27,0.2452333333333333,5 2 24,stats_26.csv,-1.3927371501922607,-1.769590139389038,
GP_F35,GP_F,GP_F/GP_F35,6,4,27,0.2452333333333333,0 3 8,stats_26.csv,-1.4939165115356443,-2.1177382469177246,
GP_F40,GP_F,GP_F/GP_F40,6,4,27,0.2452333333333333,0 11 22,stats_26.csv,-1.4175174236297607,-1.9190456867218015,
GP_F44,GP_F,GP_F/GP_F44,6,4,27,0.2452333333333333,14 2 26,stats_26.csv,-1.415200114250183,-1.940277099609375,
GP_F45,GP_F,GP_F/GP_F45,6,4,27,0.2452333333333333,29 11 20,stats_26.csv,-1.4081894159317017,-1.9062258005142207,
GP_F46,GP_F,GP_F/GP_F46,6,4,27,0.2452333333333333,21 25 26,stats_26.csv,-1.4395445585250854,-1.9753392934799197,
GP_F52,GP_F,GP_F/GP_F52,6,4,27,0.2452333333333333,14 24 5,stats_26.csv,-1.404788613319397,-1.9228512048721316,
GP_F53,GP_F,GP_F/GP_F53,6,4,27,0.2452333333333333,3 11 28,stats_26.csv,-1.5191980600357056,-2.1825687885284424,
GP_F54,GP_F,GP_F/GP_F54,6,4,27,0.2452333333333333,23 19 3,stats_26.csv,-1.4936857223510742,-2.105169773101806,
GP_F55,GP_F,GP_F/GP_F55,6,4,27,0.2452333333333333,18 7 15,stats_26.csv,-1.4524627923965454,-2.0159709453582764,
GP_F60,GP_F,GP_F/GP_F60,6,4,27,0.2452333333333333,0 11 21,stats_26.csv,-1.424437165260315,-1.969148874282837,
GP_F64,GP_F,GP_F/GP_F64,6,4,27,0.2452333333333333,3 11 26,stats_26.csv,-1.481734037399292,-2.121373653411865,
GP_F79,GP_F,GP_F/GP_F79,6,4,27,0.2452333333333333,24 16 21,stats_26.csv,-1.3904496431350708,-1.7207995653152466,
GP_F85,GP_F,GP_F/GP_F85,6,4,27,0.2452333333333333,0 5 14,stats_26.csv,-1.493179440498352,-2.171314477920532,
GP_F86,GP_F,GP_F/GP_F86,6,4,27,0.2452333333333333,22 19 6,stats_26.csv,-1.426104187965393,-1.9545708894729612,
GP_F93,GP_F,GP_F/GP_F93,6,4,27,0.2452333333333333,5 21 2,stats_26.csv,-1.4245905876159668,-1.9852031469345093,
GP_F96,GP_F,GP_F/GP_F96,6,4,27,0.2452333333333333,29 18 8,stats_26.csv,-1.4453771114349363,-2.063672542572021,
GP_F97,GP_F,GP_F/GP_F97,6,4,27,0.2452333333333333,26 4 5,stats_26.csv,-1.471773386001587,-2.104060649871826,
GP_F1,GP_F,GP_F/GP_F1,7,5,27,0.2452333333333333,5 8 9,stats_26.csv,-1.4174249172210691,-1.9634816646575928,
GP_F30,GP_F,GP_F/GP_F30,7,5,27,0.2452333333333333,1 23 11,stats_26.csv,-1.4192585945129397,-1.9646785259246824,
GP_F50,GP_F,GP_F/GP_F50,7,5,27,0.2452333333333333,16 0 19,stats_26.csv,-1.3931282758712769,-1.7791000604629517,
GP_F66,GP_F,GP_F/GP_F66,7,5,27,0.2452333333333333,11 2 29,stats_26.csv,-1.4459024667739868,-2.025701999664306,
GP_F69,GP_F,GP_F/GP_F69,7,5,27,0.2452333333333333,24 6 19,stats_26.csv,-1.4149324893951416,-1.9162187576293943,
GP_F75,GP_F,GP_F/GP_F75,7,5,27,0.2452333333333333,11 28 18,stats_26.csv,-1.4258434772491455,-1.9862291812896729,
GP_F78,GP_F,GP_F/GP_F78,7,5,27,0.2452333333333333,28 12 15,stats_26.csv,-1.4394469261169434,-2.002652645111084,
GP_F91,GP_F,GP_F/GP_F91,7,5,27,0.2452333333333333,6 17 25,stats_26.csv,-1.425771713256836,-1.9363739490509035,
GP_F17,GP_F,GP_F/GP_F17,8,6,27,0.2452333333333333,26 6 4,stats_26.csv,-1.4150128364562988,-1.907820463180542,
GP_F18,GP_F,GP_F/GP_F18,8,6,27,0.2452333333333333,7 4 2,stats_26.csv,-1.429256796836853,-1.9527002573013303,
GP_F27,GP_F,GP_F/GP_F27,8,6,27,0.2452333333333333,12 13 14,stats_26.csv,-1.412412166595459,-1.9342855215072632,
GP_F38,GP_F,GP_F/GP_F38,8,6,27,0.2452333333333333,3 1 15,stats_26.csv,-1.4617111682891846,-2.009832859039306,
GP_F58,GP_F,GP_F/GP_F58,8,6,27,0.2452333333333333,8 17 7,stats_26.csv,-1.455222249031067,-2.0349345207214355,
GP_F63,GP_F,GP_F/GP_F63,8,6,27,0.2452333333333333,7 19 8,stats_26.csv,-1.4564005136489868,-2.022166967391968,
GP_F89,GP_F,GP_F/GP_F89,8,6,27,0.2452333333333333,9 0 15,stats_26.csv,-1.4311113357543943,-2.0097761154174805,
GP_F95,GP_F,GP_F/GP_F95,8,6,27,0.2452333333333333,22 14 13,stats_26.csv,-1.401663899421692,-1.835948348045349,
GP_F47,GP_F,GP_F/GP_F47,9,7,27,0.2452333333333333,14 8 29,stats_26.csv,-1.4154456853866575,-1.929490327835083,
GP_F26,GP_F,GP_F/GP_F26,10,8,27,0.2452333333333333,4 29 19,stats_26.csv,-1.4528322219848633,-2.0353689193725586,
GP_F39,GP_F,GP_F/GP_F39,10,8,27,0.2452333333333333,15 25 12,stats_26.csv,-1.4375139474868774,-1.944776177406311,
GP_F56,GP_F,GP_F/GP_F56,10,8,27,0.2452333333333333,3 18 22,stats_26.csv,-1.458611249923706,-2.099924802780152,
GP_F76,GP_F,GP_F/GP_F76,10,8,27,0.2452333333333333,7 12 15,stats_26.csv,-1.4183484315872192,-1.928615927696228,
GP_F99,GP_F,GP_F/GP_F99,10,8,27,0.2452333333333333,28 4 18,stats_26.csv,-1.3918499946594238,-1.815689206123352,
GP_F80,GP_F,GP_F/GP_F80,11,9,27,0.2452333333333333,12 25 23,stats_26.csv,-1.4485490322113037,-2.0107979774475098,
GP_F84,GP_F,GP_F/GP_F84,11,9,27,0.2452333333333333,19 15 22,stats_26.csv,-1.4199705123901367,-1.964497208595276,
GP_F28,GP_F,GP_F/GP_F28,12,10,27,0.2452333333333333,19 12 4,stats_26.csv,-1.444960594177246,-2.0107123851776123,
GP_F33,GP_F,GP_F/GP_F33,12,10,27,0.2452333333333333,1 25 21,stats_26.csv,-1.4356900453567505,-1.9848517179489136,
GP_F9,GP_F,GP_F/GP_F9,12,10,27,0.2452333333333333,25 3 10,stats_26.csv,-1.4960341453552246,-2.130253553390503,
GP_F22,GP_F,GP_F/GP_F22,15,13,27,0.2452333333333333,9 10 8,stats_26.csv,-1.435638666152954,-2.0093791484832764,
GP_F49,GP_F,GP_F/GP_F49,15,13,27,0.2452333333333333,0 4 23,stats_26.csv,-1.4463975429534912,-1.986457586288452,
GP_F72,GP_F,GP_F/GP_F72,15,13,27,0.2452333333333333,0 19 28,stats_26.csv,-1.4509834051132202,-1.9931721687316892,
GP_F68,GP_F,GP_F/GP_F68,16,14,27,0.2452333333333333,8 20 22,stats_26.csv,-1.4570058584213257,-2.024214506149292,
GP_F98,GP_F,GP_F/GP_F98,16,14,27,0.2452333333333333,19 25 4,stats_26.csv,-1.4207032918930054,-1.9129968881607056,
GP_F7,GP_F,GP_F/GP_F7,17,15,27,0.2452333333333333,8 2 28,stats_26.csv,-1.4051276445388794,-1.9097931385040283,
GP_F90,GP_F,GP_F/GP_F90,17,15,27,0.2452333333333333,23 0 19,stats_26.csv,-1.419568419456482,-1.9820942878723145,
GP_F83,GP_F,GP_F/GP_F83,19,17,27,0.2452333333333333,25 18 3,stats_26.csv,-1.465867280960083,-1.992648124694824,
GP_F37,GP_F,GP_F/GP_F37,20,18,27,0.2452333333333333,2 0 25,stats_26.csv,-1.4215636253356934,-1.948104739189148,
GP_F25,GP_F,GP_F/GP_F25,21,19,27,0.2452333333333333,2 8 13,stats_26.csv,-1.4118751287460327,-1.918631672859192,
GP_F62,GP_F,GP_F/GP_F62,21,19,27,0.2452333333333333,1 25 20,stats_26.csv,-1.4383463859558103,-1.976375937461853,
GP_Ph_F14,GP_Ph_F,GP_Ph_F/GP_Ph_F14,0,-2,8,0.2101666666666667,8 15 1,,,,
GP_Ph_F85,GP_Ph_F,GP_Ph_F/GP_Ph_F85,0,-2,8,0.2101666666666667,8 20 11,,,,
GP_Ph_F81,GP_Ph_F,GP_Ph_F/GP_Ph_F81,2,0,8,0.2101666666666667,29 25 8,,,,
GP_Ph_F33,GP_Ph_F,GP_Ph_F/GP_Ph_F33,3,1,8,0.2101666666666667,2 7 13,stats_00.csv,-2.236910343170166,,
GP_Ph_F24,GP_Ph_F,GP_Ph_F/GP_Ph_F24,0,-2,16,0.23193333333333332,16 8 7,,,,
GP_Ph_F96,GP_Ph_F,GP_Ph_F/GP_Ph_F96,1,-1,24,0.23323333333333332,8 24 9,,,,
GP_Ph_F23,GP_Ph_F,GP_Ph_F/GP_Ph_F23,0,-2,27,0.2452333333333333,27 21 26,stats_16.csv,-1.729123592376709,,
GP_Ph_F74,GP_Ph_F,GP_Ph_F/GP_Ph_F74,0,-2,27,0.2452333333333333,27 26 28,stats_17.csv,-1.5590237379074097,,
GP_Ph_F87,GP_Ph_F,GP_Ph_F/GP_Ph_F87,0,-2,27,0.2452333333333333,27 22 23,stats_18.csv,-1.4440840482711792,,
GP_Ph_F12,GP_Ph_F,GP_Ph_F/GP_Ph_F12,1,-1,27,0.2452333333333333,5 27 18,stats_19.csv,-1.8450236320495603,,
GP_Ph_F42,GP_Ph_F,GP_Ph_F/GP_Ph_F42,1,-1,27,0.2452333333333333,15 27 20,stats_21.csv,-1.3267059326171875,,
GP_Ph_F48,GP_Ph_F,GP_Ph_F/GP_Ph_F48,1,-1,27,0.2452333333333333,10 27 4,stats_18.csv,-1.4476324319839478,,
GP_Ph_F7,GP_Ph_F,GP_Ph_F/GP_Ph_F7,1,-1,27,0.2452333333333333,23 27 8,,,,
